	Breast Cancer	Peripheral Neuropathy
BCL-2-LIKE PROTEIN 11	1	0
APOPTOSIS REGULATOR BCL-2	3	0
ALPHA-LINOLENIC ACID/OLEIC ACID RATIO	3	0
BH3-INTERACTING DOMAIN DEATH AGONIST	1	0
DIHOMO-GAMMA-LINOLENIC ACID	3	0
AUTOPHAGY PROTEIN 5	1	0
MUCIN-1	2	0
THYMIDINE KINASE, CYTOSOLIC	19	0
ALDEHYDE DEHYDROGENASE 1A1	9	0
CYP19A1 c.*19C>T (rs10046)	3	0
APOLIPOPROTEIN C-I	6	0
ALPHA-AMYLASE 1	4	0
PALMITOLEIC ACID	3	0
GANGLIOSIDE GM2 ACTIVATOR	7	0
MICRORNA 671	2	0
SOLUTE CARRIER FAMILY 40 MEMBER 1	1	0
MICRORNA 433	2	0
HISTONE DEACETYLASE 5	10	0
MICRORNA 409	2	0
MICRORNA 20B	2	0
RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2	9	0
TUBULIN BETA-3 CHAIN	11	0
SIRT1 c.-1138T>C (rs3758391)	8	0
STRESS-70 PROTEIN, MITOCHONDRIAL	1	0
PROTHROMBIN TIME	16	0
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2	1	0
TWIST-RELATED PROTEIN 1	4	0
DEATH-ASSOCIATED PROTEIN KINASE	8	0
ACYL-COENZYME A THIOESTERASE THEM4	8	0
CADHERIN-1	16	0
GLUTATHIONE S-TRANSFERASE PI 1	8	0
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3	8	0
ADENOMATOUS POLYPOSIS COLI	1	0
RESISTIN	8	0
CAT104/LINC01234/STXBP5-AS1 PANEL	63	0
G1/S-SPECIFIC CYCLIN-D2	32	0
CD80	10	0
TRANSFORMATION/TRANSCRIPTION DOMAIN-ASSOCIATED PROTEIN	8	0
LINE1 METHYLATION	4	0
CD63 ANTIGEN	5	0
CD40	7	0
METASTASIS ASSOCIATED LUNG ADENOCARCINOMA TRANSCRIPT 1 (NON-PROTEIN CODING)	8	0
FORKHEAD BOX PROTEIN P3	11	0
TUMOR INFILTRATING LYMPHOCYTES	9	0
CK6	4	0
OTU DOMAIN-CONTAINING PROTEIN 4	1	0
EPIDERMALGROWTHFACTORRECEPTOR	8	0
EPIDERMAL GROWTH FACTOR RECEPTOR	1	0
TOTAL CHOLESTEROL	3	0
ESTROGEN RECEPTOR	7	0
ESR1 (rs2046210)	10	0
HISTONE-LYSINE N-METHYLTRANSFERASE EZH2	1	0
TESTOSTERONE	9	0
PROGESTERONE RECEPTOR	5	0
KI-67	19	0
SERUM AMYLOID A	33	0
BC016831 LONG NON-CODING RNA	8	0
CD8 CELLS	2	0
LINOLENIC ACID	4	0
NT-PROBNP	3	0
UNCHARACTERIZED LOC101928858	1	0
BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN	2	0
BONE MORPHOGENETIC PROTEIN 6	8	0
SEX HORMONE-BINDING GLOBULIN	1	0
BCL-2-INTERACTING KILLER	5	0
TROPONIN T, CARDIAC MUSCLE	3	0
UNCHARACTERIZED LOC101928649	1	0
TRANSMEMBRANE PROTEIN 43	1	0
RP4-781K5.4 LONG NON-CODING RNA	5	0
PROGRAMMED CELL DEATH 1 LIGAND 1	1	0
UPF0568 PROTEIN C14ORF166	18	0
SENP2 c.902C>A (rs6762208)	11	0
PALMITIC ACID	2	0
FIBRONECTIN	3	0
CYCLIN-DEPENDENT KINASE INHIBITOR 2A	16	0
MICRORNA 711	8	0
SHBG c.1066G>A (rs6259)	4	0
MUCIN 1	1	0
ARACHIDONIC ACID	33	0
ESTROGEN RECEPTOR ALPHA	3	0
ERYTHROPOIETIN	8	0
TRIGLYCERIDES	1	0
PROGRAMMED CELL DEATH PROTEIN 1	7	0
C-REACTIVE PROTEIN	1	0
PROINSULIN	1	0
LDL-C	1	0
CK5	4	0
TRANSMEMBRANE PROTEASE SERINE 6	1	0
AMYLOID BETA A4 PRECURSOR PROTEIN	1	0
NEUROPILIN-2	2	0
NERVE GROWTH FACTOR RECEPTOR	2	0
MYRISTIC ACID	2	0
IMMUNOGLOBULIN KAPPA VARIABLE 2-29 (GENE/PSEUDOGENE)	3	0
MICRORNA 151A	2	0
LEPTIN	2	0
NEUROFILAMENT HEAVY POLYPEPTIDE	1	0
ERCC2 c.2251A>C (rs13181)	0	1
ADIPONECTIN	4	0
LONG INTERGENIC NON-PROTEIN CODING RNA 52	1	0
UNCHARACTERIZED LOC441242	2	0
E3 SUMO-PROTEIN LIGASE PIAS3	1	0
INTERLEUKIN-6	5	0
GLUCOSE	12	0
CYP2A6 c.-48T>G (rs28399433)	1	0
ATP-DEPENDENT RNA HELICASE DDX3X	4	0
ERCC2 c.934G>A (rs1799793)	5	0
RAS ASSOCIATION DOMAIN-CONTAINING PROTEIN 1	4	0
EPHRIN-B1	8	0
HEPCIDIN	2	0
D-DIMER	1	0
CELLULAR TUMOR ANTIGEN P53	1	0
DOCOSAHEXAENOIC ACID	2	0
MICRORNA 106A	3	0
HISTAMINE H1 RECEPTOR	2	0
SONIC HEDGEHOG PROTEIN	2	0
XRCC1 c.1196A>G (rs25487)	12	0
POLY(ADP-RIBOSE) POLYMERASE	4	0
FATTY ACID DESATURASE 1	1	0
CYP2A6 c.479T>A (rs1801272)	3	0
MICRORNA 16-1	4	0
RETINOIC ACID RECEPTOR BETA	2	0
CARBONIC ANHYDRASE IX	8	0
CYP1A1 c.1384A>G (rs1048943)	11	0
MICRORNA 2276	4	0
APEX1 c.444T>G (rs1130409)	4	0
CD163 CELLS	4	0
CK5/6	2	0
SYNTAXIN-1A	4	0
STEARIC ACID/OLEIC ACID RATIO	2	0
XRCC3 c.722C>T (rs861539)	3	0
